"Query","HGNC_ID","Source"
"B2RXH2","KDM4E","biomart"
"O00311","CDC7","biomart"
"O00329","PIK3CD","biomart"
"O00408","PDE2A","biomart"
"O00444","PLK4","biomart"
"O00519","FAAH","biomart"
"O00748","CES2","biomart"
"O00763","ACACB","biomart"
"O14684","PTGES","biomart"
"O14744","PRMT5","biomart"
"O14746","TERT","biomart"
"O14757","CHEK1","biomart"
"O14842","FFAR1","biomart"
"O14920","IKBKB","biomart"
"O14965","AURKA","biomart"
"O15118","NPC1","biomart"
"O15151","MDM4","biomart"
"O15379","HDAC3","biomart"
"O15530","PDPK1","biomart"
"O43175","PHGDH","biomart"
"O43193","MLNR","biomart"
"O43353","RIPK2","biomart"
"O43570","CA12","biomart"
"O43613","HCRTR1","biomart"
"O43614","HCRTR2","biomart"
"O60341","KDM1A","biomart"
"O60603","TLR2","biomart"
"O60674","JAK2","biomart"
"O60760","HPGDS","biomart"
"O60885","BRD4","biomart"
"O75116","ROCK2","biomart"
"O75164","KDM4A","biomart"
"O75173","ADAMTS4","biomart"
"O75460","ERN1","biomart"
"O75874","IDH1","biomart"
"O75907","DGAT1","biomart"
"O76074","PDE5A","biomart"
"O94925","GLS","biomart"
"O94966","USP19","biomart"
"O95136","S1PR2","biomart"
"O95271","TNKS","biomart"
"O95819","MAP4K4","biomart"
"O95835","LATS1","biomart"
"O95977","S1PR4","biomart"
"O96017","CHEK2","biomart"
"P00338","LDHA","biomart"
"P00352","ALDH1A1","biomart"
"P00374","DHFR","biomart"
"P00519","ABL1","biomart"
"P00533","EGFR","biomart"
"P00734","F2","biomart"
"P00740","F9","biomart"
"P00742","F10","biomart"
"P00746","CFD","biomart"
"P00747","PLG","biomart"
"P00748","F12","biomart"
"P00749","PLAU","biomart"
"P00797","REN","biomart"
"P00915","CA1","biomart"
"P00918","CA2","biomart"
"P01106","MYC","biomart"
"P01116","KRAS","biomart"
"P01375","TNF","biomart"
"P03372","ESR1","biomart"
"P03951","F11","biomart"
"P03952","KLKB1","biomart"
"P03956","MMP1","biomart"
"P04049","RAF1","biomart"
"P04062","GBA1","biomart"
"P04150","NR3C1","biomart"
"P04626","ERBB2","biomart"
"P04629","NTRK1","biomart"
"P04637","TP53","biomart"
"P04798","CYP1A1","biomart"
"P04818","TYMS","biomart"
"P05067","APP","biomart"
"P05164","MPO","biomart"
"P05177","CYP1A2","biomart"
"P05186","ALPL","biomart"
