Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-112311,"Neurotransmitter clearance",1,10,8.227067050596463E-4,8.227067050596837E-4,0.009214315096667924,1,16,0.0010182651307834277,9606,Homo sapiens,"bche","P06276","R-HSA-372519"
R-HSA-422085,"Synthesis, secretion, and deacylation of Ghrelin",1,20,0.0016454134101192926,0.0016454134101192563,0.009214315096667924,1,8,5.091325653917138E-4,9606,Homo sapiens,"bche","P06276","R-HSA-9023617"
R-HSA-1483191,"Synthesis of PC",1,28,0.0023035787741670093,0.002303578774166981,0.009214315096667924,1,17,0.001081906701457392,9606,Homo sapiens,"bche","P06276","R-HSA-372519"
R-HSA-9749641,"Aspirin ADME",1,44,0.0036199095022624436,0.0036199095022624306,0.010612916495269409,1,15,9.546235601094635E-4,9606,Homo sapiens,"bche","P06276","R-HSA-9749609"
R-HSA-2980736,"Peptide hormone metabolism",1,87,0.0071575483340189225,0.007157548334018937,0.010612916495269409,1,66,0.0042003436644816395,9606,Homo sapiens,"bche","P06276","R-HSA-9023617"
R-HSA-9748784,"Drug ADME",1,111,0.009132044426162073,0.009132044426162111,0.010612916495269409,1,95,0.006045949214026602,9606,Homo sapiens,"bche","P06276","R-HSA-9749609"
R-HSA-1483206,"Glycerophospholipid biosynthesis",1,129,0.010612916495269437,0.010612916495269409,0.010612916495269409,1,125,0.00795519633424553,9606,Homo sapiens,"bche","P06276","R-HSA-372519"
R-HSA-1483257,"Phospholipid metabolism",1,212,0.0174413821472645,0.01744138214726454,0.01744138214726454,1,205,0.013046521988162668,9606,Homo sapiens,"bche","P06276","R-HSA-372519"
R-HSA-112315,"Transmission across Chemical Synapses",1,273,0.022459893048128343,0.022459893048128343,0.022459893048128343,1,162,0.010309934449182205,9606,Homo sapiens,"bche","P06276","R-HSA-372519"
R-HSA-112316,"Neuronal System",1,419,0.034471410941999174,0.034471410941999125,0.034471410941999125,1,216,0.013746579265576275,9606,Homo sapiens,"bche","P06276","R-HSA-372519"
R-HSA-556833,"Metabolism of lipids",1,766,0.0630193336075689,0.06301933360756884,0.06301933360756884,1,863,0.054922675491631136,9606,Homo sapiens,"bche","P06276","R-HSA-372519"
R-HSA-392499,"Metabolism of proteins",1,2114,0.1739201974496092,0.17392019744960918,0.17392019744960918,1,912,0.05804111245465538,9606,Homo sapiens,"bche","P06276","R-HSA-9023617"
R-HSA-1430728,"Metabolism",1,2218,0.18247634718222955,0.1824763471822295,0.1824763471822295,1,2149,0.13676573537834913,9606,Homo sapiens,"bche","P06276","R-HSA-372519"
