"","x"
"1","CHEMBL3687"
"2","CHEMBL2903"
"3","CHEMBL1978"
"4","CHEMBL335"
"5","CHEMBL220"
"6","CHEMBL340"
"7","CHEMBL206"
"8","CHEMBL3199"
"9","CHEMBL2041"
"10","CHEMBL2231"
"11","CHEMBL2326"
"12","CHEMBL3242"
"13","CHEMBL3729"
"14","CHEMBL4878"
"15","CHEMBL265"
"16","CHEMBL339"
"17","CHEMBL235"
"18","CHEMBL256"
"19","CHEMBL318"
"20","CHEMBL214"
"21","CHEMBL3356"
"22","CHEMBL242"
"23","CHEMBL2039"
"24","CHEMBL4302"
"25","CHEMBL2789"
"26","CHEMBL5586"
"27","CHEMBL1974"
"28","CHEMBL3116"
"29","CHEMBL5719"
"30","CHEMBL1935"
"31","CHEMBL2724"
"32","CHEMBL2085"
"33","CHEMBL221"
"34","CHEMBL3587"
"35","CHEMBL4040"
"36","CHEMBL1929"
"37","CHEMBL2331053"
"38","CHEMBL228"
"39","CHEMBL4581"
"40","CHEMBL1163101"
"41","CHEMBL4361"
"42","CHEMBL3108660"
"43","CHEMBL203"
"44","CHEMBL217"
"45","CHEMBL2056"
"46","CHEMBL273"
"47","CHEMBL234"
"48","CHEMBL338"
"49","CHEMBL3594"
"50","CHEMBL313"
"51","CHEMBL205"
"52","CHEMBL1951"
"53","CHEMBL261"
"54","CHEMBL5393"
"55","CHEMBL3510"
"56","CHEMBL312"
"57","CHEMBL2842"
"58","CHEMBL3267"
"59","CHEMBL3145"
"60","CHEMBL4005"
"61","CHEMBL3142"
"62","CHEMBL2047"
"63","CHEMBL2778"
"64","CHEMBL5287"
"65","CHEMBL5409"
"66","CHEMBL6020"
"67","CHEMBL1795098"
"68","CHEMBL1977"
"69","CHEMBL4343"
"70","CHEMBL5983"
"71","CHEMBL2034"
"72","CHEMBL1697668"
"73","CHEMBL1743121"
"74","CHEMBL2808"
"75","CHEMBL2068"
"76","CHEMBL3290"
"77","CHEMBL3987"
"78","CHEMBL3988"
"79","CHEMBL4134"
"80","CHEMBL3746"
"81","CHEMBL3072"
"82","CHEMBL5347"
"83","CHEMBL2421"
"84","CHEMBL1994"
"85","CHEMBL4235"
"86","CHEMBL1787"
"87","CHEMBL1856"
"88","CHEMBL1871"
"89","CHEMBL4234"
"90","CHEMBL208"
"91","CHEMBL3305"
"92","CHEMBL1741186"
"93","CHEMBL2027"
"94","CHEMBL5868"
"95","CHEMBL3775"
"96","CHEMBL1892"
"97","CHEMBL4804"
"98","CHEMBL3522"
"99","CHEMBL2933"
"100","CHEMBL1914"
"101","CHEMBL3004"
"102","CHEMBL332"
"103","CHEMBL5549"
"104","CHEMBL2073676"
"105","CHEMBL2899"
"106","CHEMBL3815"
"107","CHEMBL5971"
"108","CHEMBL296"
"109","CHEMBL204"
"110","CHEMBL3247"
"111","CHEMBL402"
"112","CHEMBL1865"
"113","CHEMBL3959"
"114","CHEMBL1075104"
"115","CHEMBL1868"
"116","CHEMBL2007"
"117","CHEMBL2147"
"118","CHEMBL2148"
"119","CHEMBL2292"
"120","CHEMBL2345"
"121","CHEMBL258"
"122","CHEMBL2599"
"123","CHEMBL262"
"124","CHEMBL2637"
"125","CHEMBL2695"
"126","CHEMBL2793"
"127","CHEMBL2850"
"128","CHEMBL2873"
"129","CHEMBL2971"
"130","CHEMBL2973"
"131","CHEMBL3231"
"132","CHEMBL2487"
"133","CHEMBL215"
"134","CHEMBL1075322"
"135","CHEMBL5485"
"136","CHEMBL230"
"137","CHEMBL1293240"
"138","CHEMBL4304"
"139","CHEMBL3181"
"140","CHEMBL1741179"
"141","CHEMBL325"
"142","CHEMBL1915"
"143","CHEMBL5840"
"144","CHEMBL3192"
"145","CHEMBL1741213"
"146","CHEMBL3869"
"147","CHEMBL2265"
"148","CHEMBL3180"
"149","CHEMBL5533"
"150","CHEMBL2007625"
"151","CHEMBL4718"
"152","CHEMBL1783"
"153","CHEMBL5697"
"154","CHEMBL3730"
"155","CHEMBL3201"
"156","CHEMBL321"
"157","CHEMBL333"
"158","CHEMBL4822"
"159","CHEMBL2622"
"160","CHEMBL1937"
"161","CHEMBL5857"
"162","CHEMBL2736"
"163","CHEMBL1908"
"164","CHEMBL1957"
"165","CHEMBL6152"
"166","CHEMBL2722"
"167","CHEMBL2378"
"168","CHEMBL299"
"169","CHEMBL3156"
"170","CHEMBL4191"
"171","CHEMBL2409"
"172","CHEMBL3229"
"173","CHEMBL4394"
"174","CHEMBL2069"
"175","CHEMBL2243"
"176","CHEMBL4794"
"177","CHEMBL3571"
"178","CHEMBL3023"
"179","CHEMBL6089"
"180","CHEMBL3582"
"181","CHEMBL248"
"182","CHEMBL218"
"183","CHEMBL250"
"184","CHEMBL4282"
"185","CHEMBL3250"
"186","CHEMBL3474"
"187","CHEMBL4323"
"188","CHEMBL4342"
"189","CHEMBL5545"
"190","CHEMBL1828"
"191","CHEMBL2392"
"192","CHEMBL2189127"
"193","CHEMBL3401"
"194","CHEMBL3514"
"195","CHEMBL4158"
"196","CHEMBL253"
"197","CHEMBL284"
"198","CHEMBL3252"
"199","CHEMBL219"
"200","CHEMBL1741176"
"201","CHEMBL1821"
"202","CHEMBL1833"
"203","CHEMBL1841"
"204","CHEMBL1867"
"205","CHEMBL1916"
"206","CHEMBL1941"
"207","CHEMBL2035"
"208","CHEMBL216"
"209","CHEMBL222"
"210","CHEMBL231"
"211","CHEMBL2327"
"212","CHEMBL239"
"213","CHEMBL285"
"214","CHEMBL5160"
"215","CHEMBL3724"
"216","CHEMBL3691"
"217","CHEMBL3819"
"218","CHEMBL238"
"219","CHEMBL270"
"220","CHEMBL3593"
"221","CHEMBL3262"
"222","CHEMBL225"
"223","CHEMBL4630"
"224","CHEMBL2801"
"225","CHEMBL3045"
"226","CHEMBL3604"
"227","CHEMBL4462"
"228","CHEMBL5738"
"229","CHEMBL1898"
"230","CHEMBL1983"
"231","CHEMBL224"
"232","CHEMBL2439"
"233","CHEMBL304"
"234","CHEMBL323"
"235","CHEMBL3371"
"236","CHEMBL2993"
"237","CHEMBL3025"
